year,sex,city,longitude,latitude,wing length,body mass,body size index,urbanization,annual temperature,annual precipitation
2014,Female,Haikou,109.4941,18.98297,114.6666667,20,0.244965014,0,23.16,145.19
2014,Male,Haikou,109.4941,18.98297,122,15.25,-0.076104395,0,23.16,145.19
2014,Male,Haikou,109.4947,18.98318,118,15.41,-0.038824256,0,23.16,145.19
2014,Male,Haikou,109.4948,18.98326,120.1666667,15.82,-0.027216868,0,23.16,145.19
2014,Male,Haikou,109.0681,19.2967,120.5,16.15,-0.008802296,0,24.49,125.11
2014,Female,Haikou,109.0681,19.2967,114.6666667,17.77,0.126744382,0,24.49,125.11
2014,Female,Haikou,109.0682,19.29603,120.5,18.37,0.119996554,0,24.49,125.11
2014,Male,Haikou,109.0677,19.29564,116.5,15.44,-0.02657796,0,24.49,125.11
2014,Female,Haikou,109.0677,19.29564,118.3333333,16.35,0.01811558,0,24.49,125.11
2014,Female,Haikou,109.0676,19.29576,111.6666667,14.06,-0.086086213,0,24.49,125.11
2014,Female,Haikou,109.0685,19.29581,117.8333333,17.99,0.117113256,0,24.49,125.11
2014,Male,Haikou,109.0678,19.29676,118,15.61,-0.025929171,0,24.49,125.11
2014,Female,Haikou,109.0678,19.29676,117.8333333,16.56,0.034287357,0,24.49,125.11
2014,Male,Haikou,109.0457,19.27153,117.3333333,14.89,-0.068588922,59,24.79,125.13
2014,Female,Haikou,109.0457,19.27153,122.8333333,16.1,-0.027346028,59,24.79,125.13
2014,Male,Haikou,109.046,19.27238,120.3333333,16.88,0.036521629,59,24.79,125.13
2014,Male,Haikou,109.0462,19.27311,115,14.76,-0.061183786,59,24.74,125.28
2014,Female,Haikou,109.045,19.27279,118,16.81,0.048133042,59,24.79,125.13
2014,Female,Haikou,109.045,19.27279,115.5,16.3,0.034567156,59,24.79,125.13
2014,Male,Nanning,108.3309,22.79194,115.5,13.33,-0.166580818,81,22.02,117.47
2014,Female,Nanning,108.3309,22.79194,115,14.72,-0.063897492,81,22.02,117.47
2014,Male,Nanning,108.3312,22.79189,115,14,-0.114047276,81,22.02,117.47
2014,Female,Nanning,108.3312,22.79189,112.1666667,13.74,-0.112706206,81,22.02,117.47
2014,Female,Nanning,108.3311,22.79265,111.1666667,14.57,-0.046841943,81,22.17,118.49
2014,Male,Nanning,108.3311,22.79265,121,14.35,-0.130306632,81,22.17,118.49
2014,Female,Nanning,108.3302,22.79207,116,17.49,0.10155308,81,22.02,117.47
2014,Male,Nanning,108.3302,22.79207,115.8333333,13.95,-0.12343895,81,22.02,117.47
2014,Male,Nanning,108.3298,22.79188,117.1666667,14.71,-0.07960665,81,22.02,117.47
2014,Female,Nanning,108.3298,22.79188,108,12.41,-0.184033768,81,22.02,117.47
2014,Female,Nanning,108.3311,22.79177,116,14.77,-0.067478112,81,22.02,117.47
2014,Male,Nanning,108.3188,22.7913,113.8333333,15.55,-0.000833399,57,22.13,115.75
2014,Female,Nanning,108.3188,22.7913,115,13.78,-0.12988634,57,22.13,115.75
2014,Female,Nanning,108.3193,22.79186,115.3333333,13.51,-0.152005035,45,22.13,115.75
2014,Male,Nanning,108.3182,22.79192,114.1666667,14.08,-0.102493119,45,22.13,115.75
2014,Female,Nanning,108.3182,22.79192,122.3333333,15.81,-0.042238286,45,22.13,115.75
2014,Female,Nanning,108.3162,22.79166,115,13.81,-0.127711638,57,22.13,115.75
2014,Female,Changsha,112.806,28.40025,115,15.53,-0.010330968,0,18.03,106.91
2014,Male,Changsha,112.8073,28.40122,118,15.07,-0.061134893,0,18.03,106.91
2014,Female,Changsha,112.8073,28.40122,113.1666667,14.75,-0.048921337,0,18.03,108.18
2014,Male,Changsha,112.8066,28.40093,116,14.43,-0.090766836,0,18.03,108.18
2014,Female,Changsha,112.8066,28.40093,116.1666667,17.69,0.11176721,0,18.03,108.18
2014,Female,Changsha,112.8078,28.40387,117.3333333,16.6,0.040123927,0,18.03,108.18
2014,Male,Changsha,112.8078,28.40387,114.5,14.86,-0.050922999,0,18.03,108.18
2014,Male,Changsha,112.8069,28.40385,116.6666667,15.73,-0.009120919,0,18.03,108.18
2014,Female,Changsha,112.8069,28.40385,114.1666667,18.59,0.175375332,0,18.03,108.18
2014,Male,Changsha,112.806,28.40025,117.1666667,15.16,-0.049473804,0,18.03,108.18
2014,Male,Changsha,112.8071,28.4006,116.6666667,14.54,-0.087787164,0,18.03,108.18
2014,Male,Changsha,112.8065,28.40117,120.3333333,13.98,-0.151980123,0,18.03,108.18
2014,Male,Changsha,112.8069,28.40249,116.6666667,14.5,-0.090541987,0,18.03,108.18
2014,Male,Changsha,112.8072,28.40649,123,16.6,0.002145578,0,18.03,108.18
2014,Female,Changsha,112.8072,28.40649,118.8333333,16.37,0.015942924,0,18.03,108.18
2014,Female,Changsha,112.8098,28.39182,118.1666667,16.83,0.048185595,0,18.05,105.4
2014,Male,Changsha,112.8098,28.39182,116.8333333,16.74,0.051960944,0,18.05,105.4
2014,Male,Changsha,112.8098,28.39182,119,15.39,-0.046918062,0,18.05,105.4
2014,Female,Zhengzhou,113.6507,34.78098,118.3333333,17.97,0.112591383,100,15.3,49.56
2014,Male,Zhengzhou,113.6507,34.78098,120.5,15.38,-0.057654381,100,15.3,49.56
2014,Male,Zhengzhou,113.6512,34.78092,118.8333333,14.79,-0.085556191,100,15.3,49.56
2014,Female,Zhengzhou,113.6512,34.78092,117.6666667,17.94,0.115469788,100,15.3,49.56
2014,Female,Zhengzhou,113.6517,34.78042,114.1666667,17.37,0.107496111,100,15.3,49.56
2014,Male,Zhengzhou,113.6517,34.78042,118.5,16.1,0.001573646,100,15.3,49.56
2014,Female,Zhengzhou,113.6523,34.78024,117.1666667,18.23,0.134934404,100,15.3,49.56
2014,Female,Zhengzhou,113.6523,34.78024,113,18.03,0.153059376,100,15.3,49.56
2014,Male,Zhengzhou,113.6792,34.84212,119.5,16.84,0.039744829,52,15.02,48.21
2014,Female,Zhengzhou,113.6792,34.84212,113.3333333,16.8,0.080029456,52,15.02,48.21
2014,Male,Zhengzhou,113.6791,34.84211,120.1666667,16.47,0.013048714,52,15.02,48.21
2014,Female,Zhengzhou,113.6791,34.8421,120.1666667,18.02,0.102990422,52,15.02,48.21
2014,Female,Zhengzhou,113.6789,34.84215,117.3333333,18.2,0.132142825,52,15.08,47.45
2014,Male,Zhengzhou,113.6789,34.84215,118.6666667,16.5,0.02498304,52,15.08,47.45
2014,Female,Zhengzhou,113.6786,34.84211,118.8333333,19.04,0.167034562,52,15.02,48.21
2014,Male,Zhengzhou,113.6793,34.84162,120.8333333,16.11,-0.0135065,25,15.02,48.21
2014,Male,Zhengzhou,113.6795,34.84157,118.1666667,15.95,-0.005518584,25,15.02,47.95
2014,Female,Zhengzhou,113.6795,34.84157,117.8333333,16.08,0.004873472,25,15.02,47.95
2014,Male,Zhengzhou,113.6795,34.84157,114.6666667,15.64,-0.000935525,25,15.02,47.95
2014,Male,Zhengzhou,113.6765,34.84165,117.1666667,16.73,0.049069331,25,15.02,48.21
2014,Female,Zhengzhou,113.6765,34.84165,116.6666667,16.75,0.053707622,25,15.02,48.21
2014,Female,Zhengzhou,113.6768,34.84162,115,17.61,0.115362317,25,15.02,48.21
2014,Female,Zhengzhou,113.6771,34.84158,117.3333333,18.01,0.12164839,25,15.02,48.21
